id,categoria,precio,precio_mxn,precio_usd,fecha_conversion,propiedad,metros_total,metros_construido,precio_m2_terreno,precio_m2_construido,tiempo_de_publicacion,dias_transcurridos,meses_transcurridos,fecha_mas_actual,tipo,Status,estacionamientos,recamaras,banos,medio_banos,bano_total,seguridad_privada,tipo_lugar,Colonia,Municipio,Estado,ubicacion,url
35,E1,450000,450000,25031,2024-10-02,"Casa en venta en colonia Cuauhtémoc, Puebla",150,300,3000.0,1500.0,2024-07-15,143,4,2024-12-08,Casa,Venta,2,4,4,0,4.0,No,,Cuauhtemoc,Puebla,Puebla,"Cuauhtémoc, Puebla, Puebla",https://www.lamudi.com.mx/detalle/41032-73-c4dd10550f5a-c153-190b898-839a-77c6
36,E1,450000,450000,25031,2024-10-02,VENTA DE CASA EN ADOLFO LOPEZ MATEOS,150,280,3000.0,1607.142857142857,2024-04-12,236,7,2024-12-08,Casa,Venta,2,4,2,0,2.0,No,,Puebla,Puebla,Puebla,"Puebla, Puebla, Puebla",https://www.lamudi.com.mx/detalle/41032-73-88735cf45c76-c8d8-4eb1e2d2-a942-42ec
37,E1,450000,450000,25031,2024-10-02,"CASA EN VENTA EN STA MARIA LA RIVERA,HEROICA PUEBLA DE ZARAGOZA, PUEBLA.",150,280,3000.0,1607.142857142857,2024-06-28,160,5,2024-12-08,Casa,Venta,2,4,2,0,2.0,No,,Puebla,Puebla,Puebla,"Puebla, Puebla, Puebla",https://www.lamudi.com.mx/detalle/41032-73-a54c027e2bed-612c-b55ade6e-add8-409f
38,E1,450000,450000,25031,2024-10-02,SLP Bonita casa en venta Puebla *La casa de tu sueños*,140,180,3214.285714285714,2500.0,2024-02-27,281,9,2024-12-08,Casa,Venta,2,3,2,0,2.0,No,,Ex-Hacienda Mayorazgo,Puebla,Puebla,"Ex-Hacienda Mayorazgo, Puebla, Puebla",https://www.lamudi.com.mx/detalle/41032-73-2a6e5a9b2633-2927-ca21259a-8f9d-497b
39,E1,450000,450000,25031,2024-10-02,Casa En Sinaloa El Carmen Puebla Oportunidad ***JHRE,210,280,2142.8571428571427,1607.142857142857,2024-12-08,0,0,2024-12-08,Casa,Venta,1,4,2,0,2.0,No,,El Carmen,Puebla,Puebla,"El Carmen, Puebla, Puebla",https://www.lamudi.com.mx/detalle/41032-73-aa4f2c7c5335-8072-19116e7-9109-76b5
40,E1,450000,450000,25031,2024-10-02,VENTA DE CASA EN PUEBLA COLONIA GRANJAS DEL SUR,298,215,1510.0671140939598,2093.0232558139537,2024-04-03,245,8,2024-12-08,Casa,Venta,1,4,2,1,2.5,No,,Granjas Del Sur,Puebla,Puebla,"Granjas Del Sur, Puebla, Puebla",https://www.lamudi.com.mx/detalle/41032-73-560b2e918edd-db8d-270efab7-8e87-4487
41,E1,451300,451300,25104,2024-10-02,": PROL. SAN LORENZA 106 CASA 7, FRACCIONAMIENTO RESIDENCIAL MAGNOLIAS, PUEBLA, 72700.",120,200,3760.8333333333335,2256.5,2024-05-23,195,6,2024-12-08,Casa,Venta,2,3,2,0,2.0,No,,Los Cipreses,Puebla,Puebla,"Los Cipreses, Puebla, Puebla",https://www.lamudi.com.mx/detalle/41032-73-9c38694bce64-1dbf-814bb781-bc88-4e9a
42,E1,451470,451470,25113,2024-10-02,"VENTA DE CASA EN ADOLFO LOPEZ MATEOS, SANTA MARIA LA RIVERA, PUEBLA",130,120,3472.846153846154,3762.25,2024-02-12,296,9,2024-12-08,Casa,Venta,2,4,2,1,2.5,No,,Puebla,Puebla,Puebla,"Puebla, Puebla, Puebla",https://www.lamudi.com.mx/detalle/41032-73-64fc44dc6b63-fae4-52c01793-9ed1-4799
43,E1,451470,451470,25113,2024-10-02,VENTA DE CASA EN SANTA MARIA LA RIVERA PUEBLA,130,120,3472.846153846154,3762.25,2023-12-13,355,11,2024-12-08,Casa,Venta,2,4,2,1,2.5,No,,Puebla,Puebla,Puebla,"Puebla, Puebla, Puebla",https://www.lamudi.com.mx/detalle/41032-73-8469a6519810-b45d-14d95af0-bd19-4f0f
44,E1,453000,453000,25198,2024-10-02,"EXCELENTE CASA, CON MUY BUENA UBICACION A 5 MIN DE LOMAS DE ANGELOPOLIS Y LA UNIVERSIDAD POLITECNICA METROPOLITANA DE PUEBLA",100,100,4530.0,4530.0,2024-07-05,153,5,2024-12-08,Casa,Venta,2,3,2,1,2.5,No,,San Miguel Mayorazgo INFONAVIT,Puebla,Puebla,"San Miguel Mayorazgo INFONAVIT, Puebla, Puebla",https://www.lamudi.com.mx/detalle/41032-73-a93ed7e93ded-6813-43178fcb-8f02-4f8c
45,E1,454000,454000,25254,2024-10-02,"VENTA DE CASA EN CALLE 81 PONIENTE, COLONIA SAN JOSE MAYORAZGO, PUEBLA",115,115,3947.8260869565215,3947.8260869565215,2024-03-22,256,8,2024-12-08,Casa,Venta,2,3,2,0,2.0,No,,San Jose Mayorazgo,Puebla,Puebla,"San José Mayorazgo, Puebla, Puebla",https://www.lamudi.com.mx/detalle/41032-73-ba6c636c9fa5-185b-ccad471d-83b0-40b8
46,E1,454000,454000,25254,2024-10-02,CASA EN VENTA SAN JOSE MAYORAZGO PUEBLA,100,150,4540.0,3026.6666666666665,2024-03-01,277,9,2024-12-08,Casa,Venta,2,3,2,0,2.0,No,,San Jose Mayorazgo,Puebla,Puebla,"San José Mayorazgo, Puebla, Puebla",https://www.lamudi.com.mx/detalle/41032-73-ea4f83b8fb79-b9d9-84120a43-b5ed-4172
47,E1,459000,459000,25532,2024-10-02,VENTA DE CASA EN PUEBLA,263,263,1745.2471482889734,1745.2471482889734,2024-06-24,164,5,2024-12-08,Casa,Venta,2,3,1,1,1.5,No,,Aquiles Serdan,Puebla,Puebla,"Aquiles Serdán, Puebla, Puebla",https://www.lamudi.com.mx/detalle/41032-73-caf7cf6c8a17-2a00-fcdee08b-a76a-40d5
48,E1,460000,460000,25587,2024-10-02,"VENTA DE CASA EN COL. GRANJAS DEL SUR, PUEBLA, PUE.",298,215,1543.6241610738257,2139.5348837209303,2024-05-21,197,6,2024-12-08,Casa,Venta,2,4,2,1,2.5,No,,Granjas Del Sur,Puebla,Puebla,"Granjas Del Sur, Puebla, Puebla",https://www.lamudi.com.mx/detalle/41032-73-b88c8ef6386b-9344-2df1200c-a63c-4496
49,E1,460000,460000,25587,2024-10-02,"Bonita casa en fraccionamiento muy tranquilo, San Bartolo Infonavit, Puebla",67,72,6865.671641791045,6388.888888888889,2023-10-09,424,13,2024-12-08,Casa,Venta,2,2,1,1,1.5,No,,San Bartolo INFONAVIT,Puebla,Puebla,"San Bartolo INFONAVIT, Puebla, Puebla",https://www.lamudi.com.mx/detalle/41032-73-4e99f52daf5a-4e89-fd0270ac-902a-45dc
50,E1,464000,464000,25810,2024-10-02,Venta de hermosa casa en Puebla,180,180,2577.777777777778,2577.777777777778,2024-07-18,140,4,2024-12-08,Casa,Venta,2,3,2,0,2.0,No,,Lomas del Valle,Puebla,Puebla,"Lomas del Valle, Puebla, Puebla",https://www.lamudi.com.mx/detalle/41032-73-efa2a4ac5a0b-5c69-190c757-afec-7492
51,E1,477000,477000,26533,2024-10-02,VENTA DE CASA EN EXCELENTES CONDICIONES,237,400,2012.6582278481008,1192.5,2024-07-12,146,4,2024-12-08,Casa,Venta,2,5,3,1,3.5,No,,Villa Carmel,Puebla,Puebla,"Villa Carmel, Puebla, Puebla",https://www.lamudi.com.mx/detalle/41032-73-789e8e0927e9-99ef-190a86b-ade1-7382
52,E1,477000,477000,26533,2024-10-02,HERMOSA CASA EN VENTA EN PUEBLA COL VILLA CARMEL,237,237,2012.6582278481008,2012.6582278481008,2024-07-03,155,5,2024-12-08,Casa,Venta,2,5,4,0,4.0,No,,Villa Carmel,Puebla,Puebla,"Villa Carmel, Puebla, Puebla",https://www.lamudi.com.mx/detalle/41032-73-1dd457701d5-e53a-1907942-9f47-7263
53,E1,477000,477000,26533,2024-10-02,"VENTA DE CASA EN VILLA CARMEL, HEROICA PUEBLA DE ZARAGOZA, PUEBLA.",226,416,2110.619469026549,1146.6346153846157,2024-07-12,146,4,2024-12-08,Casa,Venta,2,3,2,1,2.5,No,,Las Brisas,Puebla,Puebla,"Las Brisas, Puebla, Puebla",https://www.lamudi.com.mx/detalle/41032-73-d7db33d6ed5f-78d0-190a8a4-85b1-7058
54,E1,480000,480000,26700,2024-10-02,Bonita Casa En Una Exelente Ubicacion calle villa de cobre col. la joya puebla  GSN,130,200,3692.307692307693,2400.0,2024-07-11,147,4,2024-12-08,Casa,Venta,2,3,2,0,2.0,No,,La Joya,Puebla,Puebla,"La Joya, Puebla, Puebla",https://www.lamudi.com.mx/detalle/41032-73-82d04e3db0e4-2287-a48b8af-9d21-4e56
55,E1,480000,480000,26700,2024-10-02,CASA EN VENTA EN PUEBLA,160,138,3000.0,3478.260869565217,2024-06-06,182,6,2024-12-08,Casa,Venta,2,3,1,0,1.0,No,,La Hacienda,Puebla,Puebla,"La Hacienda, Puebla, Puebla",https://www.lamudi.com.mx/detalle/41032-73-985045b51454-9d85-6a0464a-896b-476f
