id,categoria,precio,precio_mxn,precio_usd,fecha_conversion,propiedad,metros_total,metros_construido,precio_m2_terreno,precio_m2_construido,tiempo_de_publicacion,dias_transcurridos,meses_transcurridos,fecha_mas_actual,tipo,Status,estacionamientos,recamaras,banos,medio_banos,bano_total,seguridad_privada,Colonia,Estado,url
48,E2,590000,590000,32818.72,2024-09-18,HERMOSA CASA EN HIDALGO,266,398,2218.04511278195,1482.41206030151,2024-04-05,5.0,0.0,2024-04-10,Casa,Venta,1,3,1,0,1,no,"La Morena,",Venta,https://www.lamudi.com.mx//detalle/41032-73-a3002a27c83a-bfc-fabe67f0-9cb6-47ea
49,E2,590000,590000,32818.72,2024-09-18,HERMOSA CASA EN TULANCINGO HIDALGO,266,398,2218.04511278195,1482.41206030151,,,,2024-04-10,Casa,Venta,1,3,1,0,1,no,"La Morena,",Venta,https://www.lamudi.com.mx//detalle/41032-73-9124678c7d65-8c2c-21c76e2-8786-4fec
50,E2,590000,590000,32818.72,2024-09-18,HERMOSA PROPIEDAD CERCA DEL CENTRO DE TULANCINGO.,398,266,1482.41206030151,2218.04511278195,2024-04-03,7.0,0.0,2024-04-10,Casa,Venta,1,3,1,0,1,no,Huapalcalco,Venta,https://www.lamudi.com.mx//detalle/41032-73-8db530b7ec3d-3648-318e96cf-a16c-444c
51,E2,590000,590000,32818.72,2024-09-18,HERMOSA CASA EN VENTA EN TULANCINGO HGO,160,240,3687.5,2458.33333333333,,,,2024-04-10,Casa,Venta,1,3,1,0,1,no,"La Morena,",Venta,https://www.lamudi.com.mx//detalle/41032-73-9ce74ee2ed-10f9-55424dff-a502-4a88
52,E2,590000,590000,32818.72,2024-09-18,VENTA DE CASA ECONOMICA AMPLIA EN TULANCINGO 2 RECAMARAS,90,50,6555.55555555556,11800.0,2023-08-17,234.0,7.0,2024-04-10,Casa,Venta,1,2,1,0,1,no,"La Morena,",Venta,https://www.lamudi.com.mx//detalle/41032-73-5bf156c15edf-3d02-80444c89-8277-1237
53,E2,600000,600000,33374.97,2024-09-18,"Casa en Rinconada la Morena, Tulancingo.",168,225,3571.42857142857,2666.66666666667,2024-02-01,69.0,2.0,2024-04-10,Casa,Venta,1,3,2,0,2,no,"La Morena,",Venta,https://www.lamudi.com.mx//detalle/41032-73-d3f0d839cbb4-6a95-daf40633-8d10-44d0
54,E2,600000,600000,33374.97,2024-09-18,"CASA EN VENTA - COL. LA MORENA, TULANCINGO",180,210,3333.33333333333,2857.14285714286,2023-10-02,188.0,6.0,2024-04-10,Casa,Venta,1,3,2,0,2,no,20 de Noviembre,Venta,https://www.lamudi.com.mx//detalle/41032-73-ec594c4bb147-7627-6e552390-86f7-4e50
55,E2,600000,600000,33374.97,2024-09-18,CASA EN VENTA GUADALUPE TULANCINGO HIDALGO MJH,240,185,2500.0,3243.24324324324,2023-11-27,134.0,4.0,2024-04-10,Casa,Venta,1,3,2,0,2,no,20 de Noviembre,Venta,https://www.lamudi.com.mx//detalle/41032-73-69c22f98a785-dd34-c7678403-9029-45a0
56,E2,600000,600000,33374.97,2024-09-18,VENTA DE CASA ECONOMICA EN RINCONES DE LA HACIENDA 2 RECAMARAS,90,90,6666.66666666667,6666.66666666667,2024-04-02,8.0,0.0,2024-04-10,Casa,Venta,1,2,1,0,1,no,Jaltepec,Venta,https://www.lamudi.com.mx//detalle/41032-73-d1d150531641-ef11-f4d193e9-abd5-1f92
57,E2,600000,600000,33374.97,2024-09-18,VENTA DE CASA ECONOMICA EN RINCONES DE LA HACIENDA 2 RECAMARAS,90,90,6666.66666666667,6666.66666666667,2024-04-02,8.0,0.0,2024-04-10,Casa,Venta,1,2,1,0,1,no,La Morena,Venta,https://www.lamudi.com.mx//detalle/41032-73-d1d150531641-ef1a-ad44b039-abd5-1f92
