año,mes,cve_ent,entidad,cve_mun,municipio,organismo,modalidad,destino,tipo,sexo,edad_rango,ingresos_rango,vivienda_valor,acciones,monto,id,year
2024,5,13.0,Hidalgo,77.0,Tulancingo de Bravo,1,1,2,2,2.0,2.0,4.0,3.0,1.0,926939.79,103,2024
2024,5,13.0,Hidalgo,77.0,Tulancingo de Bravo,1,1,2,1,2.0,2.0,5.0,4.0,1.0,1254933.5,104,2024
2024,5,13.0,Hidalgo,77.0,Tulancingo de Bravo,1,2,1,2,1.0,1.0,1.0,0.0,1.0,0.0,105,2024
2024,5,13.0,Hidalgo,77.0,Tulancingo de Bravo,1,2,1,2,1.0,1.0,3.0,0.0,1.0,0.0,106,2024
2024,5,13.0,Hidalgo,77.0,Tulancingo de Bravo,1,2,1,2,1.0,2.0,1.0,0.0,2.0,0.0,107,2024
2024,5,13.0,Hidalgo,77.0,Tulancingo de Bravo,1,2,1,2,1.0,2.0,2.0,0.0,2.0,0.0,108,2024
2024,5,13.0,Hidalgo,77.0,Tulancingo de Bravo,1,2,1,2,1.0,2.0,3.0,0.0,2.0,0.0,109,2024
2024,5,13.0,Hidalgo,77.0,Tulancingo de Bravo,1,2,1,2,2.0,2.0,1.0,0.0,1.0,0.0,110,2024
2024,5,13.0,Hidalgo,77.0,Tulancingo de Bravo,1,2,1,2,2.0,2.0,2.0,0.0,1.0,0.0,111,2024
2024,5,13.0,Hidalgo,77.0,Tulancingo de Bravo,1,2,1,2,2.0,2.0,4.0,0.0,1.0,0.0,112,2024
2024,5,13.0,Hidalgo,77.0,Tulancingo de Bravo,1,3,3,1,1.0,1.0,4.0,2.0,1.0,664955.15,113,2024
2024,5,13.0,Hidalgo,77.0,Tulancingo de Bravo,1,3,3,1,1.0,2.0,3.0,2.0,1.0,674457.99,114,2024
2024,5,13.0,Hidalgo,77.0,Tulancingo de Bravo,1,4,7,1,2.0,2.0,2.0,2.0,1.0,423361.53,115,2024
2024,5,13.0,Hidalgo,77.0,Tulancingo de Bravo,1,4,7,1,2.0,2.0,6.0,4.0,1.0,1348724.81,116,2024
2024,5,13.0,Hidalgo,77.0,Tulancingo de Bravo,2,1,2,1,1.0,1.0,6.0,5.0,1.0,2494800.0,117,2024
2024,5,13.0,Hidalgo,77.0,Tulancingo de Bravo,2,1,2,1,2.0,2.0,3.0,4.0,1.0,1185600.0,118,2024
2024,5,13.0,Hidalgo,77.0,Tulancingo de Bravo,2,1,2,1,2.0,2.0,5.0,6.0,1.0,3232000.0,119,2024
2024,5,13.0,Hidalgo,77.0,Tulancingo de Bravo,2,4,4,1,2.0,3.0,6.0,4.0,1.0,466726.0,120,2024
2024,5,13.0,Hidalgo,77.0,Tulancingo de Bravo,2,4,6,1,1.0,2.0,6.0,6.0,1.0,2625642.0,121,2024
2024,5,13.0,Hidalgo,77.0,Tulancingo de Bravo,3,1,2,2,2.0,2.0,3.0,4.0,1.0,34152.06,122,2024
2024,5,13.0,Hidalgo,77.0,Tulancingo de Bravo,3,1,2,1,2.0,2.0,2.0,3.0,2.0,1133000.0,123,2024
2024,5,13.0,Hidalgo,77.0,Tulancingo de Bravo,3,3,3,1,1.0,2.0,3.0,4.0,1.0,965502.46,124,2024
2024,5,13.0,Hidalgo,77.0,Tulancingo de Bravo,3,3,3,1,2.0,2.0,2.0,3.0,2.0,1492075.16,125,2024
2024,5,13.0,Hidalgo,77.0,Tulancingo de Bravo,3,3,3,1,2.0,2.0,5.0,4.0,1.0,1440262.59,126,2024
2024,6,13.0,Hidalgo,77.0,Tulancingo de Bravo,1,1,2,2,1.0,2.0,6.0,4.0,1.0,1657514.16,127,2024
2024,6,13.0,Hidalgo,77.0,Tulancingo de Bravo,1,1,2,2,1.0,2.0,6.0,5.0,1.0,2830638.19,128,2024
2024,6,13.0,Hidalgo,77.0,Tulancingo de Bravo,1,1,2,2,2.0,1.0,5.0,2.0,1.0,671620.86,129,2024
2024,6,13.0,Hidalgo,77.0,Tulancingo de Bravo,1,1,2,2,2.0,2.0,6.0,3.0,1.0,707839.98,130,2024
2024,6,13.0,Hidalgo,77.0,Tulancingo de Bravo,1,1,2,1,1.0,1.0,2.0,3.0,1.0,593104.09,131,2024
2024,6,13.0,Hidalgo,77.0,Tulancingo de Bravo,1,1,2,1,2.0,1.0,2.0,3.0,1.0,347671.83,132,2024
2024,6,13.0,Hidalgo,77.0,Tulancingo de Bravo,1,2,1,2,1.0,2.0,1.0,0.0,1.0,0.0,133,2024
2024,6,13.0,Hidalgo,77.0,Tulancingo de Bravo,1,2,1,2,1.0,2.0,3.0,0.0,3.0,0.0,134,2024
2024,6,13.0,Hidalgo,77.0,Tulancingo de Bravo,1,2,1,2,1.0,2.0,4.0,0.0,1.0,0.0,135,2024
2024,6,13.0,Hidalgo,77.0,Tulancingo de Bravo,1,2,1,2,2.0,2.0,1.0,0.0,1.0,0.0,136,2024
2024,6,13.0,Hidalgo,77.0,Tulancingo de Bravo,1,2,1,2,2.0,2.0,2.0,0.0,2.0,0.0,137,2024
2024,6,13.0,Hidalgo,77.0,Tulancingo de Bravo,1,2,5,1,1.0,2.0,6.0,4.0,1.0,1371052.54,138,2024
2024,6,13.0,Hidalgo,77.0,Tulancingo de Bravo,1,3,3,1,1.0,2.0,2.0,2.0,1.0,584761.32,139,2024
2024,6,13.0,Hidalgo,77.0,Tulancingo de Bravo,1,3,3,1,1.0,2.0,3.0,3.0,1.0,733367.58,140,2024
2024,6,13.0,Hidalgo,77.0,Tulancingo de Bravo,1,3,3,1,1.0,2.0,4.0,3.0,1.0,743037.52,141,2024
2024,6,13.0,Hidalgo,77.0,Tulancingo de Bravo,1,3,3,1,2.0,2.0,2.0,2.0,1.0,557348.39,142,2024
2024,6,13.0,Hidalgo,77.0,Tulancingo de Bravo,1,3,3,1,2.0,2.0,3.0,2.0,1.0,608715.15,143,2024
2024,6,13.0,Hidalgo,77.0,Tulancingo de Bravo,1,4,4,1,1.0,2.0,6.0,4.0,1.0,1426182.31,144,2024
2024,6,13.0,Hidalgo,77.0,Tulancingo de Bravo,1,4,7,1,1.0,2.0,6.0,4.0,1.0,1266072.38,145,2024
2024,6,13.0,Hidalgo,77.0,Tulancingo de Bravo,1,4,7,1,2.0,1.0,2.0,2.0,1.0,383976.89,146,2024
2024,6,13.0,Hidalgo,77.0,Tulancingo de Bravo,2,1,2,2,2.0,2.0,4.0,5.0,1.0,550000.0,147,2024
2024,6,13.0,Hidalgo,77.0,Tulancingo de Bravo,2,1,2,1,1.0,2.0,1.0,5.0,1.0,3168000.0,148,2024
2024,6,13.0,Hidalgo,77.0,Tulancingo de Bravo,2,1,2,1,1.0,2.0,4.0,4.0,1.0,1395000.0,149,2024
2024,6,13.0,Hidalgo,77.0,Tulancingo de Bravo,2,3,3,1,2.0,2.0,3.0,4.0,1.0,1519293.0,150,2024
2024,6,13.0,Hidalgo,77.0,Tulancingo de Bravo,2,4,6,1,2.0,2.0,5.0,3.0,1.0,473900.0,151,2024
2024,6,13.0,Hidalgo,77.0,Tulancingo de Bravo,3,1,2,1,2.0,2.0,2.0,4.0,1.0,762032.35,152,2024
2024,6,13.0,Hidalgo,77.0,Tulancingo de Bravo,3,1,5,1,1.0,2.0,6.0,4.0,1.0,1478709.67,153,2024
2024,6,13.0,Hidalgo,77.0,Tulancingo de Bravo,3,3,3,1,1.0,2.0,2.0,3.0,1.0,931017.02,154,2024
2024,6,13.0,Hidalgo,77.0,Tulancingo de Bravo,3,3,3,1,2.0,1.0,2.0,3.0,1.0,704253.62,155,2024
2024,6,13.0,Hidalgo,77.0,Tulancingo de Bravo,3,3,3,1,2.0,2.0,2.0,2.0,1.0,600613.19,156,2024
2024,6,13.0,Hidalgo,77.0,Tulancingo de Bravo,3,3,3,1,2.0,2.0,2.0,3.0,1.0,698736.59,157,2024
2024,6,13.0,Hidalgo,77.0,Tulancingo de Bravo,4,2,1,1,1.0,1.0,0.0,0.0,1.0,0.0,158,2024
2024,6,13.0,Hidalgo,77.0,Tulancingo de Bravo,4,2,1,1,2.0,2.0,0.0,0.0,1.0,0.0,159,2024
2024,7,13.0,Hidalgo,77.0,Tulancingo de Bravo,1,1,2,2,1.0,2.0,3.0,2.0,1.0,604182.5,160,2024
2024,7,13.0,Hidalgo,77.0,Tulancingo de Bravo,1,1,2,2,1.0,2.0,4.0,2.0,1.0,664591.85,161,2024
2024,7,13.0,Hidalgo,77.0,Tulancingo de Bravo,1,1,2,1,2.0,2.0,3.0,3.0,1.0,728592.36,162,2024
2024,7,13.0,Hidalgo,77.0,Tulancingo de Bravo,1,2,1,2,1.0,2.0,1.0,0.0,2.0,0.0,163,2024
