id,categoria,precio,propiedad,metros_total,metros_construido,precio_m2_terreno,precio_m2_construido,meses_transcurridos,tipo,Estado,estacionamientos,recamaras,banos,medio_banos,bano_total,seguridad_privada,Colonia,CP,url
41,D2,1366025,VENTA DE CASA EN JARDINES DEL SUR TULANCINGO DE BRAVO HIDALGO GDS/AS,120,120,11383.541666666666,11383.541666666666,2,Casa,Venta,1,3,1,0,1.0,No,Jardines del Sur,0,https://www.lamudi.com.mx//detalle/41032-73-c05d32c8a2a0-1e10-f3f11bd6-b838-4459
42,D2,1350000,"CASA EN VENTA EN NAPATECO TULANCINGO, HIDALGO",171,105,7894.736842105263,12857.142857142857,7,Casa,Venta,1,3,2,0,2.0,No,Unidad Habitacional Napateco,0,https://www.lamudi.com.mx//detalle/41032-73-14ca92dd8a4d-db6f-eaae4c26-89a0-3953
43,D2,1300000,CASA EN VENTA EN FRACCIONAMIENTO CHAVARRIA,120,120,10833.333333333334,10833.333333333334,12,Departamento,Venta,1,2,2,0,2.0,No,Pachuca de Soto,0,https://www.lamudi.com.mx//detalle/41032-73-15e65e0d1f97-583f-70126887-8cef-3701
44,D2,1290000,"Casa en Col. 20 de noviembre, Tulancingo de Bravo, Hidalgo",120,190,10750.0,6789.473684210527,4,Casa,Venta,0,4,3,0,3.0,No,20 de Noviembre,0,https://www.lamudi.com.mx//detalle/41032-73-a1cf0b934e6e-30bf-1313e532-9cf5-40e4
45,,1250000,"DEPARTAMENTO EN VENTA CENTRO, PACHUCA DE SOTO, HGO",90,90,13888.888888888889,13888.888888888889,8,Departamento,Venta,1,3,1,0,1.0,No,Pachuca de Soto Centro,0,https://www.lamudi.com.mx//detalle/41032-73-6f63a7321a1c-6556-574575e1-8ff1-4797
46,,1250000,VENTA DE CASA ECONÓMICA EN FRACCIONAMIENTO PRIVADO EN TULANCINGO 3 RECAMARAS,100,125,12500.0,10000.0,12,Casa En Fraccionamiento,Venta,1,3,2,0,2.0,No,San Nicolás El Chico,0,https://www.lamudi.com.mx//detalle/41032-73-bfa7f15b7f9c-b68e-b93b6c46-8fb7-313c
47,D1,1249000,Oportunidad de Departamento Céntrico en Venta Pachuca,95,95,13147.368421052632,13147.368421052632,7,Departamento,Venta,1,3,1,0,1.0,No,Pachuca de Soto Centro,0,https://www.lamudi.com.mx//detalle/41032-73-ea07d4568a9f-872f-dff1181e-98fe-4d9e
48,D1,1193100,TAD35080 Gran oportunidad para invertir en Tulancingo,105,75,11362.857142857143,15908.0,1,Casa,Venta,0,3,2,0,2.0,No,Unidad Habitacional La Morena,0,https://www.lamudi.com.mx//detalle/41032-73-9358f3d09ca3-ba1d-b73b9e48-86f6-4dbb
49,D1,1180000,"CASA EN FRACCIONAMIENTO CERRADO, CIMA DORADA TULANCINGO",105,77,11238.09523809524,15324.675324675323,4,Casa,Venta,0,2,1,0,1.0,No,San José Caltengo,0,https://www.lamudi.com.mx//detalle/41032-73-60f9fc9ca4df-8fdf-6c7094aa-a826-4471
50,D1,1157000,Casa en venta con 3 recámaras en  Tulancingo,72,81,16069.444444444443,14283.95061728395,12,Casa En Fraccionamiento,Venta,0,3,2,0,2.0,No,Villa Sol,0,https://www.lamudi.com.mx//detalle/41032-73-96ac604bba20-635d-4730664-89a4-3be2
51,D1,1150000,"CASA NUEVA EN PRIVADA SAN DANIEL, TULANCINGO HIDALGO",105,62,10952.380952380952,18548.3870967742,12,Casa,Venta,1,2,1,0,1.0,No,Conjunto Habitacional Los Mesones,0,https://www.lamudi.com.mx//detalle/41032-73-e1e9f2183ac5-7f02-5ba171a0-bd32-34c5
52,D1,1100000,VENTA DE CASA 3 RECAMARAS EN TULANCINGO HIDALGO,105,102,10476.190476190475,10784.313725490196,12,Casa En Fraccionamiento,Venta,1,3,2,0,2.0,No,Tulancingo de Bravo Centro,0,https://www.lamudi.com.mx//detalle/41032-73-855a866a4c28-80e9-6b217a01-90e4-3abf
53,D1,1100000,VENTA DE CASA ECONOMICA DE 4 RECAMARAS EN COLONIA EL PARAISO EN TULANCINGO HIDALGO,160,100,6875.0,11000.0,12,Casa,Venta,1,4,1,0,1.0,No,Tulancingo de Bravo Centro,0,https://www.lamudi.com.mx//detalle/41032-73-46863522d18d-457e-9ef05d1f-a468-3838
54,D1,1100000,HERMOSA CASA EN VENTA EN TULANCINGO DE BRAVO HIDALGO.,398,398,2763.819095477387,2763.819095477387,2,Casa,Venta,1,4,2,0,2.0,No,Unidad Habitacional La Morena,0,https://www.lamudi.com.mx//detalle/41032-73-c3d586e6bb16-bbfd-7ff3c95e-a3d7-4960
55,D1,1080000,"Casa con opción de crecimiento en Villas Santa María, Tulancingo Hgo.",105,73,10285.714285714286,14794.520547945203,4,Casa,Venta,0,2,1,0,1.0,No,Ampliación Javier Rojo Gómez,0,https://www.lamudi.com.mx//detalle/41032-73-148a066ebd7c-a22f-24777fa3-acc5-46bd
56,D1,1050000,"CASA DE 1 NIVEL EN PRIVADA, TULANCINGO HIDALGO",105,70,10000.0,15000.0,1,Casa,Venta,0,2,1,0,1.0,No,Ampliación Javier Rojo Gómez,0,https://www.lamudi.com.mx//detalle/41032-73-58b55adc017b-6914-f7d09bf-9a71-458e
57,D1,1050000,VENTA DE CASA DE LUJO 3 RECAMARAS EN TULANCINGO,80,120,13125.0,8750.0,9,Casa,Venta,1,3,1,0,1.0,No,Medias Tierras,0,https://www.lamudi.com.mx//detalle/41032-73-89ca4ee22d25-18f8-67cdfbc9-994b-1237
58,D1,1031100,Oportunidad de compra en Tulancingo,110,110,9373.636363636364,9373.636363636364,1,Casa,Venta,1,3,2,0,2.0,No,Vicente Guerrero 1ra Sección,0,https://www.lamudi.com.mx//detalle/41032-73-fa15f10ac271-f310-6ae34913-9618-42ac
59,E3,990100,"Vivienda en venta con gran plusvalía de remate dentro de Calle Hermenegildo Galeana 706, Vicente Guerrero, Tulancingo, Estado de Hidalgo, México",110,110,9000.90909090909,9000.90909090909,4,Casa,Venta,1,3,2,0,2.0,No,Vicente Guerrero 1ra Sección,0,https://www.lamudi.com.mx//detalle/41032-73-db570cd0d44e-1be3-5ab37df6-83f7-4656
60,E3,990000,EXTRENA TU CASA A BAJO COSTO EN **TULANCINGO DE BRAVO** HGO.,110,110,9000.0,9000.0,2,Casa,Venta,1,3,1,0,1.0,No,Vicente Guerrero 1ra Sección,0,https://www.lamudi.com.mx//detalle/41032-73-bf57b977d082-55cb-a85d7cdf-ba19-4e54
61,E3,985000,"CASA DE 1 NIVEL EN FRACC. VILLAS SANTA MARIA, TULANCINGO HIDALGO",105,76,9380.952380952382,12960.526315789471,11,Casa En Fraccionamiento,Venta,1,2,1,0,1.0,No,Ampliación Javier Rojo Gómez,0,https://www.lamudi.com.mx//detalle/41032-73-7ce59ea81ac0-ba8f-53ce538d-9349-3d2f
62,E3,984000,Casa en venta con 3 recámaras en Tulancingo,72,67,13666.666666666666,14686.567164179103,12,Casa En Fraccionamiento,Venta,0,3,2,0,2.0,No,Villa Sol,0,https://www.lamudi.com.mx//detalle/41032-73-a533d1c6b1d4-b82f-b4e9c29b-9bda-3798
63,E3,980000,"Venta de departamentos ejecutivos, 2 recámaras y 2 baños.",82,82,11951.219512195124,11951.219512195124,12,Departamento,Venta,1,2,2,0,2.0,No,Fracc Paseo de las Reynas V,0,https://www.lamudi.com.mx//detalle/41032-73-e0684482854-c985-672238f7-bb61-3806
64,E3,980000,"Inmueble adjudicado en Tulancingo, Hidalgo",110,110,8909.09090909091,8909.09090909091,3,Casa,Venta,1,3,2,0,2.0,No,Vicente Guerrero 1ra Sección,0,https://www.lamudi.com.mx//detalle/41032-73-c1f29b7f102f-3101-c4a42d6b-b2d3-4e63
65,E3,960000,Se VENDE Departamento en Paseos de las Reynas Pachuca Hidalgo,90,90,10666.666666666666,10666.666666666666,10,Departamento,Venta,1,0,3,0,3.0,No,Unidad Universitaria,0,https://www.lamudi.com.mx//detalle/41032-73-941e997889bd-ef89-a3a26453-9c28-3cf4
