Occupation,Workforce,Monthly Wage,lastPeriod,diferencia,diferencia_2,Salario_Variables,volumen,pareja,categoria_persona,categoria_pareja
"Técnicos en la Instalación y Reparación de Redes, Equipos y en Sistemas Computacionales",1105,2767.05,2786.08,-19.03,1.01,2786.08,3078618.4,4736.34,G,G
Técnicos en Operaciones de Equipos de Radio,70,13300.0,0.0,13300.0,0.0,13300.0,931000.0,22610.0,E,D
Auxiliares y Técnicos de Equipos de Grabación y Reproducción de Video,145,16000.0,4248.41,11751.59,0.27,16000.0,2320000.0,27200.0,E1,D1
"Auxiliares y Técnicos de Ingeniería de Audio, Sonido e Iluminación",2114,4595.96,11749.92,-7153.96,2.56,11749.92,24839330.88,19974.86,F1,E1
Auxiliares y Técnicos en Pedagogía y en Educación,996,2993.69,762.46,2231.23,0.25,2993.69,2981715.24,5089.27,G,F
Instructores en Estudios y Capacitación Artística,1482,9570.65,4265.72,5304.93,0.45,9570.65,14183703.299999999,16270.1,F1,E1
Instructores en Idiomas Extranjeros,80,4300.0,10396.44,-6096.44,2.42,10396.44,831715.2000000001,17673.95,F1,E1
Instructores y Capacitadores en Oficios y para el Trabajo,3352,4247.19,3149.07,1098.12,0.74,4247.19,14236580.879999999,7220.22,G,F
Profesores en Educación Física y Deporte,677,3856.03,14007.67,-10151.64,3.63,14007.67,9483192.59,23813.04,E,D
Enfermeras (Técnicas),2615,5087.88,7668.45,-2580.57,1.51,7668.45,20052996.75,13036.36,F,E
"Técnicos en Aparatos de Diagnóstico, Tratamiento Médico, Podólogos y Fisioterapeutas",1680,4657.56,7592.35,-2934.79,1.63,7592.35,12755148.0,12907.0,F,E
Técnicos de Laboratorios Médicos,1336,8241.92,12062.43,-3820.51,1.46,12062.43,16115406.48,20506.13,E,D
Técnicos y Asistentes Farmacéuticos,74,8000.0,0.0,8000.0,0.0,8000.0,592000.0,13600.0,F1,E
Técnicos de Prótesis Médicas y Dentales,802,1655.86,21397.18,-19741.32,12.92,21397.18,17160538.36,36375.21,D,C1
Auxiliares en Enfermería y Paramédicos,7811,3974.04,13539.93,-9565.89,3.41,13539.93,105760393.23,23017.88,E,D
Auxiliares y Asistentes Dentales,231,72.73,4548.25,-4475.52,62.54,4548.25,1050645.75,7732.02,G,F
Auxiliares Hospitalarios y de Medicina,968,2696.28,23406.85,-20710.57,8.68,23406.85,22657830.799999997,39791.64,D,C1
Técnicos en Seguridad en el Trabajo e Higiene,460,10872.28,8000.0,2872.28,0.74,10872.28,5001248.800000001,18482.88,F1,E1
"Curanderos, Hierberos y Hueseros",1157,4283.04,7128.47,-2845.43,1.66,7128.47,8247639.79,12118.4,F,E
Otros Especialistas no Clasificados Anteriormente,169,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Otros Técnicos no Clasificados Anteriormente,73,600.0,0.0,600.0,0.0,600.0,43800.0,1020.0,G,G
"Supervisores de Secretarias, Capturistas, Cajeros y Trabajadores de Control de Archivo y Transporte",1630,13985.16,10953.98,3031.18,0.78,13985.16,22795810.8,23774.77,E,D
Secretarias,3637,8343.55,7054.18,1289.37,0.85,8343.55,30345491.349999998,14184.03,F1,E
Capturistas de Datos,1554,4455.39,5216.07,-760.68,1.17,5216.07,8105772.779999999,8867.32,F,F1
Trabajadores de Apoyo en Actividades Administrativas Diversas,19612,4939.39,5627.25,-687.86,1.14,5627.25,110361627.0,9566.32,F,F1
