año,mes,cve_ent,entidad,cve_mun,municipio,organismo,modalidad,destino,tipo,sexo,edad_rango,ingresos_rango,vivienda_valor,acciones,monto,id,year
2024,2,13.0,Hidalgo,48.0,Pachuca de Soto,1,1,2,2,1.0,2.0,2.0,5.0,1.0,177875.07,95,2024
2024,2,13.0,Hidalgo,48.0,Pachuca de Soto,1,1,2,2,1.0,2.0,6.0,4.0,1.0,1721428.08,96,2024
2024,2,13.0,Hidalgo,48.0,Pachuca de Soto,1,1,2,2,1.0,2.0,6.0,5.0,3.0,5533848.24,97,2024
2024,2,13.0,Hidalgo,48.0,Pachuca de Soto,1,1,2,2,2.0,0.0,1.0,4.0,1.0,0.0,98,2024
2024,2,13.0,Hidalgo,48.0,Pachuca de Soto,1,1,2,2,2.0,1.0,6.0,4.0,2.0,3996001.34,99,2024
2024,2,13.0,Hidalgo,48.0,Pachuca de Soto,1,1,2,1,1.0,1.0,6.0,4.0,1.0,1584008.34,100,2024
2024,2,13.0,Hidalgo,48.0,Pachuca de Soto,1,1,2,1,2.0,1.0,4.0,4.0,1.0,397695.22,101,2024
2024,2,13.0,Hidalgo,48.0,Pachuca de Soto,1,1,2,1,2.0,2.0,6.0,5.0,1.0,2807326.39,102,2024
2024,2,13.0,Hidalgo,48.0,Pachuca de Soto,1,2,1,2,1.0,1.0,1.0,0.0,1.0,0.0,103,2024
2024,2,13.0,Hidalgo,48.0,Pachuca de Soto,1,2,1,2,1.0,1.0,2.0,0.0,2.0,0.0,104,2024
2024,2,13.0,Hidalgo,48.0,Pachuca de Soto,1,2,1,2,1.0,1.0,3.0,0.0,1.0,0.0,105,2024
2024,2,13.0,Hidalgo,48.0,Pachuca de Soto,1,2,1,2,1.0,1.0,4.0,0.0,1.0,0.0,106,2024
2024,2,13.0,Hidalgo,48.0,Pachuca de Soto,1,2,1,2,1.0,2.0,0.0,0.0,19.0,1758021.9,107,2024
2024,2,13.0,Hidalgo,48.0,Pachuca de Soto,1,2,1,2,1.0,2.0,1.0,0.0,24.0,0.0,108,2024
2024,2,13.0,Hidalgo,48.0,Pachuca de Soto,1,2,1,2,1.0,2.0,2.0,0.0,17.0,0.0,109,2024
2024,2,13.0,Hidalgo,48.0,Pachuca de Soto,1,2,1,2,1.0,2.0,3.0,0.0,18.0,0.0,110,2024
2024,2,13.0,Hidalgo,48.0,Pachuca de Soto,1,2,1,2,1.0,2.0,4.0,0.0,6.0,0.0,111,2024
2024,2,13.0,Hidalgo,48.0,Pachuca de Soto,1,2,1,2,1.0,2.0,5.0,0.0,3.0,0.0,112,2024
2024,2,13.0,Hidalgo,48.0,Pachuca de Soto,1,2,1,2,1.0,2.0,6.0,0.0,5.0,0.0,113,2024
2024,2,13.0,Hidalgo,48.0,Pachuca de Soto,1,2,1,2,1.0,3.0,0.0,0.0,1.0,139109.0,114,2024
2024,2,13.0,Hidalgo,48.0,Pachuca de Soto,1,2,1,2,2.0,1.0,0.0,0.0,1.0,39486.0,115,2024
2024,2,13.0,Hidalgo,48.0,Pachuca de Soto,1,2,1,2,2.0,1.0,1.0,0.0,2.0,0.0,116,2024
2024,2,13.0,Hidalgo,48.0,Pachuca de Soto,1,2,1,2,2.0,1.0,4.0,0.0,1.0,0.0,117,2024
2024,2,13.0,Hidalgo,48.0,Pachuca de Soto,1,2,1,2,2.0,2.0,0.0,0.0,8.0,580015.39,118,2024
